휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
춘천숲자연휴양림,강원특별자치도,공유림,808043,100,0,Y,숲속의집+산림휴양관+글램핑장,강원특별자치도 춘천시 동산면 종자리로 224-104,강원특별자치도 춘천시청,033-264-1156,www.ccforest.or.kr,37.747732,127.742503,2024-02-14,4181000,강원특별자치도 춘천시
제암산자연휴양림,전라남도,공유림,1600000,3000,개인(일반1000원+단체800원+할인500원)+청소년·군인(일반600원+단체500원+할인300원)+어린이(일반400원+단체300원+할인200원),Y,숙박+야영장+물놀이장+더늠길+숲속교육관+족구장데크+모험시설+하이데크+잔디광장,전라남도 보성군 웅치면 대산길 330,전라남도 보성군청,061-852-4434,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030090,34.70050454,126.9855053,2024-02-06,4890000,전라남도 보성군
용봉산자연휴양림,충청남도,공유림,1905504,3000,개인(일반 1000+청소년·군인 800+어린이 400)+단체(일반 800+청소년·군인 600+어린이 200),Y,산림휴양관+숲속의집+산림전시관,충청남도 홍성군 홍북읍 용봉산2길 87,충청남도 홍성군청 산림녹지과,041-630-1785,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030080,36.64528712,126.6566318,2024-03-26,4600000,충청남도 홍성군
삼척활기자연휴양림,강원특별자치도,사유림,75625,175,0,Y,휴양관(송폭헌)+ 한옥(방우재)+ 한옥(세우재)+숲속의집(구희당)+숲속의집(삼락당),강원특별자치도 삼척시 미로면 준경길 651-43(지번활기리 403-1),삼척동해태백산림조합,033-574-0032,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030104,37.38099374,129.0601226,2024-01-24,4241000,강원특별자치도 삼척시
순천자연휴양림,전라남도,사유림,90000,265,무료,Y,관리사무실(1동)+숙박시설(16동25실)+캐빈하우스(6동)+텐트(19면),전라남도 순천시 서면 청소년수련원길 170,전라남도 순천시청,061-749-8948,www.foresttrip.go.kr,35.04388083,127.4744949,2024-01-19,4820000,전라남도 순천시
한방자연휴양림,경상남도,공유림,1376062,102,무료,Y,숲속의집+숲속휴양관+세미나실,경상남도 산청군 금서면 동의보감로555번길 186,경상남도 산청군청,055-970-6951,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030037,35.434035,127.823681,2024-01-12,5450000,경상남도 산청군
남해편백자연휴양림(남해),경상남도,국유림,1420000,900,개인 어른1000원+개인 청소년 600원+개인 어린이 300원+단체 어른800원+단체 군인청소년 500원+단체 어린이 200원+다자녀가정 면제+동절기 입장료면제(12월~3월),Y,숲속의집+휴양관,경상남도 남해군 삼동면 금암로 658,산림청,055-867-7881,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0192,34.75216391,128.0201321,2023-07-06,6480000,경상남도
지리산자연휴양림(함양),경상남도,국유림,2267840,800,개인 어른1000원+개인 청소년 600원+개인 어린이 300원+단체 어른800원+단체 군인청소년 500원+단체 어린이 200원+다자녀가정 면제+동절기 입장료면제(12월~3월),Y,숲속의집+휴양관,경상남도 함양군 마천면 음정길 152,산림청,055-963-8133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0190,35.34644465,127.6430043,2023-07-06,6480000,경상남도
원동자연휴양림(양산),경상남도,사유림,747070,231,무료,Y,오토캠핑장,경상남도 양산시 원동면 늘밭로 64,개인,0507-1401-583,https://wondongforest.modoo.at/,35.39881801,128.9348445,2023-07-06,6480000,경상남도
덕원자연휴양림(하동),경상남도,사유림,1378675,100,무료,Y,숲속의집+휴양관,경상남도 하동군 옥종면 옥단로 1443-327,개인,055-884-0650,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID04030008,35.22915471,127.8552761,2023-07-06,6480000,경상남도
중산자연휴양림(산청),경상남도,사유림,436668,66,무료,N,숲속의집+휴양관,경상남도 산청군 시천면 지리산대로 496-101,개인,055-974-2757,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID04030006,35.2886177,127.7507425,2023-07-06,6480000,경상남도
좌구산자연휴양림,충청북도,공유림,730000,250,없음,Y,"숲속의 집+황토집+별무리하우스+병영하우스+줄타기+썰매장+숲속모험시설+좌구산숲명상의집,+명상구름다리+좌구산천문대 등",충청북도 증평군 증평읍 솟점말길 107,충청북도 증평군 휴양공원사업소,043-835-4551,https://jpjwagu.foresttrip.go.kr,36.70556821,127.6511216,2023-06-27,5570000,충청북도 증평군
산삼자연휴양림,경상남도,공유림,670000,200,숲속의집5인실(비수기90000원 성수기120000원)+휴양관5인실(비수기80000원 성수기100000원)+10인실(비수기120000원 성수기150000원),Y,산림문화휴양관+산삼관+숲속의집+관리사무실,경상남도 함양군 서상면 가르내길 202-1,경상남도 함양군청,055-964-9886,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030048,35.69762431,127.6584311,2023-11-15,5460000,경상남도 함양군
대봉산자연휴양림,경상남도,공유림,950000,150,숲속의집5~6인실(비수기90000원 성수기120000원)+휴양관5인실(비수기80000원 성수기100000원),Y,산림문화휴양관+숲속의집+관리사무실+해피쿠킹장,경상남도 함양군 병곡면 병곡지곡로 333,경상남도 함양군청,055-964-1090,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030046,35.57794141,127.7150294,2023-11-15,5460000,경상남도 함양군
진주 월아산 자연휴양림,경상남도,공유림,23294,170,무료,Y,숲속의집+산림휴양관+글램핑장+야영데크+잔디마당+우드랜드+산림레포츠시설,경상남도 진주시 진성면 달음산로 313,경상남도 진주시청,055-746-3673,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030114,35.19991568,128.1941259,2023-11-16,5310000,경상남도 진주시
비슬산자연휴양림,대구광역시,공유림,1000000,285,없음,Y,숲속의집+통나무집+야영장+반딧불이전기차등,대구광역시 달성군 유가읍 일연선사길 99,대구광역시 달성군시설관리공단,053-659-4400,http://bisulsan.dssiseol.or.kr/bisulsan/html/main.html,35.69001083,128.5129017,2024-03-20,3480000,대구광역시 달성군
화원자연휴양림,대구광역시,공유림,720000,115,없음,Y,숲속의집+산림문화휴양관+산림욕장+전망데크등,대구광역시 달성군 화원읍 화원휴양림길 126,대구광역시 달성군시설관리공단,053-659-4455,http://hwawon.dssiseol.or.kr/hwawon/html/main.html,35.77179173,128.5367385,2024-03-20,3480000,대구광역시 달성군
비학산자연휴양림,경상북도,공유림,2280000,150,숙박 : 7만원 + 11만원+ 14만원,Y,산림휴양관+숲속의 집+테라스하우스+카라반+야외데크+생태숲 등,경상북도 포항시 북구 기북면 비학산길 302,경상북도 포항시청,054-252-3275,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030052,36.14703337,129.2111071,2024-03-20,5020000,경상북도 포항시
거제자연휴양림,경상남도,공유림,325308,520,일반 1000,Y,숲속의집+산림문화휴양관,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제시청,055-639-8115,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030059,34.78569918,128.6259431,2024-03-14,5370000,경상남도 거제시
계명산자연휴양림,경상북도,공유림,2500000,177,일반1000원+단체800원(어른),Y,숲속의 집+편백나무방+산림휴양관+복합산림휴양관+산막+야영장 등,경상북도 안동시 길안면 고란길 207-99,경상북도 안동시청 공원녹지과,054-850-4700,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030029,36.41012056,128.9465131,2024-03-18,5070000,경상북도 안동시
축령산자연휴양림,경기도,공유림,7790000,172,일반1000원+청소년 600원+어린이 300원,Y,숲속의집 7실+산림휴양관18실+축령관 1실+야영데크30개 등,경기도 남양주시 수동면 축령산로 299,경기도산림환경연구소,031-8008-6690,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030050,37.75446247,127.3124618,2024-03-07,6410000,경기도
강씨봉자연휴양림,경기도,공유림,9800000,102,일반1000원+청소년 600원+어린이 300원,Y,숲속의집+산림휴양관 등,경기도 가평군 북면 논남기길 520,경기도산림환경연구소,031-8008-6611,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030019,37.968694,127.409367,2024-03-07,6410000,경기도
와룡자연휴양림,전북특별자치도,공유림,576219,1200,무료,Y,삼림욕장+숙박시설+야영데크+야영장+산행코스+물썰매장+수영장+치유의숲,전북특별자치도 장수군 천천면 비룡로 632,전북특별자치도 장수군청 산림공원과,063-350-2477,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030084,35.67621885,127.4772179,2024-02-27,4751000,전북특별자치도 장수군
방화동가족휴가촌,전북특별자치도,공유림,250000,700,무료,Y,오토캠핑장+야영장+모험놀이장+가족놀이장+체육광장,전북특별자치도 장수군 번암면 방화동로 778,전북특별자치도 장수군청 산림공원과,063-350-2474,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030082,35.59064044,127.5268764,2024-02-27,4751000,전북특별자치도 장수군
방화동자연휴양림,전북특별자치도,공유림,1016000,200,무료,Y,숲속의집+산림문화휴양관+수련관,전북특별자치도 장수군 번암면 방화동로 778,전북특별자치도 장수군청 산림공원과,063-350-2474,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030082,35.59064044,127.5268764,2024-02-27,4751000,전북특별자치도 장수군
흥부골자연휴양림,전북특별자치도,공유림,1004157,60,일반2000원+단체1500원,Y,숲속의집+야영장,전북특별자치도 남원시 인월면 구인원길 125,전북특별자치도 남원시청,063-636-4032,www.foresttrip.go.kr,35.450932,127.590258,2024-02-19,4701000,전북특별자치도 남원시
남원자연휴양림,전북특별자치도,사유림,314951,100,일반1000원+시설이용객(야영장ㆍ단체동 등) 입장료 면제,Y,야영장,전북특별자치도 남원시 보산로 228,전북특별자치도 남원시청,063-633-5333,www.foresttrip.go.kr,35.458117,127.415508,2024-02-19,4701000,전북특별자치도 남원시
세심자연휴양림,전북특별자치도,공유림,101.45,69,0,Y,숲속의집,전북특별자치도 임실군 삼계면 임삼로 485,전북특별자치도 임실군청,063-644-4611,https://site.onda.me/69138,35.514241,127.240066,2024-01-25,4761000,전북특별자치도 임실군
치악산자연휴양림,강원도,공유림,1700000,120,일반(개인 2000+청소년 및 군인 1500+어린이 1000)+단체(어른 1500+청소년 및 군인 1000+어린이 700),Y,숲속의집+주차장+산책로,강원도 원주시 판부면 휴양림길 66,강원도 원주시청 산림과,033-762-8288,https://foresttrip.go.kr/indvz/main.do?hmpgId=ID02030024,37.255878,128.031372,2023-02-06,4190000,강원도 원주시
숲체원,강원도,국유림,159710,300,별도 입장료 없음,Y,"탐방로, 숙박동, 강의실",강원도 횡성군 둔내면 청태산로 777,산림청,033-340-6300,https://hoengseong.fowi.or.kr/,37.53722046,128.2866886,2022-06-22,4260000,강원도 횡성군
청태산휴양림,강원도,국유림,159520,1500,일반 : 1000원+청소년 : 600원+어린이 : 300원,Y,"제1산림문화휴양관, 제2산림문화휴양관, 숲속의집, 숲속수련장(중형, 소형), 대형숲속수영장(회의실), 야영장, 인도네시아 전통 전시관, 숲생태체험실, BIY목공교실",강원도 횡성군 둔내면 청태산로 610,산림청,033-343-9707,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0106,37.52907993,128.2968658,2022-06-22,4260000,강원도 횡성군
태백고원자연휴양림,강원도,국유림,1404000,110,2000원,Y,"산림문화휴양관, 숲속의 집 , 야영장",강원도 태백시 머리골길153,태백시농업기술센터 산림축산과,033-550-2849,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030022,37.12357654,129.0603832,2023-04-05,4220000,강원도 태백시
교래자연휴양림,제주특별자치도,공유림,230,1500,어른1000원+청소년600원+군인600원+단체어른800원+단체청소년500원+단체군인500원,Y,휴양림+숙박+공연장등,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도청,064-783-7482,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030056,33.45136376,126.6567109,2023-07-06,6510000,제주특별자치도 제주시
태학산자연휴양림,충청남도,공유림,1055598,1000,없음,N,숲속의집+잔디광장+숲속공연장 등,충청남도 천안시 동남구 풍세면 휴양림길 127,충청남도 천안시청,041-529-5108,http://www.cfmc.or.kr/_taehaksan/,36.72734819,127.0903273,2023-06-30,4490000,충청남도 천안시
성불산자연휴양림,충청북도,공유림,58,242,입장료 개인(어린이 1000원+청소년 1500원+군인 1500원+일반 2000원)+입장료 단체(30명 이상)(어린이 500원+청소년 1000원+군인 1000원+일반 1500원)+주차료(경형 1500원+중소형 3000원+대형 5000원+숙박시설 사용자 무료),Y,숲속의집A+숲속의집B+산림문화휴양관+숲관광메가시티+생태숲학습관+한옥체험관+생태공원+미선향테마파크무인카페+수석전시관 등,충청북도 괴산군 괴산읍 충민로기곡길 78,충청북도 괴산군청 산림녹지과,043-830-2679,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030070,36.80804701,127.8467688,2023-07-10,4460000,충청북도 괴산군
천보산자연휴양림,경기도,공유림,1165686,80,일반 2000원+단체 1400원,Y,숲속의집+휴양관+야영장 등,경기도 포천시 원동교길 309,경기도 포천시청,031-538-3554,,37.85576406,127.1190897,2023-07-07,5600000,경기도 포천시
국망봉자연휴양림,경기도,사유림,2554814,60,관람객 5000원+등산객2000원,Y,통나무 집+캠핑장 등,경기도 포천시 이동면 늠바위길 207-28,김봉일,031-532-0014,www.kookmang.co.kr,38.02891868,127.3962681,2023-07-07,5600000,경기도 포천시
변산자연휴양림,전라북도,국유림,311000,250,숙박비 52000원+154000원,Y,숲속의집+휴양관+체험교실+물놀이장(현재 미운영),전라북도 부안군 변산면 변산로 3768,국립자연휴양림관리소,063-581-9977,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0189,35.58287781,126.523728,2023-08-24,4790000,전라북도 부안군
청송자연휴양림,경상북도,공유림,2047212,160,개인(어른1000+청소년600+어린이300)+단체(어른800+청소년500+어린이200),Y,숲속의집+연수의집,경상북도 청송군 부남면 청송로 3478-96,경상북도 청송군청,054-872-3163,http://csong.foresttrip.go.kr/,36.3179023,129.0537598,2023-10-30,5160000,경상북도 청송군
송이밸리자연휴양림,강원특별자치도,공유림,43.66,100,없음,Y,송이밸리자연휴양림,강원특별자치도 양양군 양양읍 고노동길 98-50,강원특별자치도 양양군청,033-670-2644,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030049,38.05400667,128.6214924,2023-10-30,4351000,강원특별자치도 양양군
자굴산 자연휴양림,경상남도,공유림,38336,200,숲속의 집 (노각동 130000원+벌집동 150000원+단체동 250000원)+카라반 120000원+야영장 17000원+어린이물놀이장 5000원+주차장 2000원,Y,노각센터+숲속의 집+숲놀이터+물놀이터+야영장+카라반+숲속공연장+산림욕장+네트어드벤처+도깨비황금동굴,경상남도 의령군 가례면 자굴산휴양로 23,경상남도 의령군청,055-572-0030,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030113,35.377313,128.208971,2023-10-18,5390000,경상남도 의령군
유치자연휴양림,전라남도,공유림,53.7,2000,비수기(1000원)+성수기(2000원),Y,숲속의집+야영데크+물놀이장,전라남도 장흥군 유치면 휴양림길 154,전라남도 장흥군청,061-863-6350,www.jangheung.go.kr/yuchi,34.76806521,126.8323492,2023-10-17,4910000,전라남도 장흥군
입화산 자연휴양림,울산광역시,공유림,380291,132,(감면 미적용 금액)(비수기)오토캠핑 평일 25000원+(비수기)오토캠핑 주말.공휴일 30000원+(비수기)카라반 평일 150000원+(비수기)카라반 주말.공휴일 170000원+(성수기)오토캠핑 30000원+(성수기)카라반 200000원,Y,오토캠핑장+이동식주택(카라반)+산림욕장+숲속도서관+네이처스포츠+모노레일,울산광역시 중구 길촌길 333,울산광역시 중구,052-290-4418,https://camping.junggu.ulsan.kr/camping/index.do,35.578739,129.279479,2023-10-14,3690000,울산광역시 중구
용추자연휴양림,경상남도,공유림,1590000,400,숲속의집2인실(비수기35000원 성수기50000원)+6인실(비수기90000원 성수기120000원)+12인실(비수기140000원 성수기200000원)+휴양관6인실(비수기90000원 성수기120000원)+수련관4인실(비수기50000원 성수기80000원)+8인실(비수기120000원 성수기170000원),Y,산림문화휴양관+숲속의집+취사장+화장실+샤워장+야영장+관리사무실,경상남도 함양군 안의면 용추휴양림길 166,경상남도 함양군청,055-963-8702,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030047,35.6961266,127.7578596,2023-11-15,5460000,경상남도 함양군
회문산자연휴양림,전라북도,국유림,2890000,300,어른 1000원 청소년 600원 어린이 300원,Y,숲속의 집+산림문화 휴양관+야영시설,전라북도 순창군 구림면 안심길 295,국립자연휴양림관리소,063-653-4779,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0188,35.50195867,127.1148251,2022-06-15,4770000,전라북도 순창군
용궐산자연휴양림,전라북도,공유림,1630000,100,무료,N,산림휴양관+하늘길+야영장,전라북도 순창군 동계면 장군목길 538-19,순창군청,063-653-4779,,35.46166861,127.2048302,2022-06-15,4770000,전라북도 순창군
주천강자연휴양림,강원도,사유림,2296100,400,숙박시설 이용객만 입장 가능(별도입장료 : 없음),Y,"숲속마을, 산골마을, 강변마을, 숲속학교, 황토별장",강원도 횡성군 둔내면 강변로 영랑6길 115,사유휴양림(대표 : 김문기),033-345-7575,http://jucheon.com/,37.4606019,128.2034233,2022-06-22,4260000,강원도 횡성군
흥부골자연휴양림,전라북도,공유림,1004157,60,일반2000원+단체1500원,Y,숲속의집+야영장,전라북도 남원시 인월면 구인원길 125,전라북도 남원시청,063-636-4032,www.foresttrip.go.kr,35.450932,127.590258,2023-05-31,4700000,전라북도 남원시
남원자연휴양림,전라북도,사유림,314951,100,일반1000원+시설이용객(야영장ㆍ단체동 등) 입장료 면제,Y,야영장,전라북도 남원시 보산로 228,전라북도 남원시청,063-633-5333,www.foresttrip.go.kr,35.458117,127.415508,2023-05-31,4700000,전라북도 남원시
데미샘자연휴양림,전라북도,공유림,200,107,무료,Y,휴양관+숲속의집+숲문화마당+명상의숲 등,전라북도 진안군 백운면 데미샘 1길 172,전라북도 산림환경연구소,063-290-6993,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030074,35.6569938,127.4610402,2023-06-09,4730000,전라북도 진안군
운장산자연휴양림,전라북도,국유림,1958,600,일반인(개인 1000+단체 800)+청소년(개인 600+단체 500)+어린이(개인 300+단체 200),Y,숲속의집+연립동+산림문화휴양관+숲속수련관,전라북도 진안군 정천면 휴양림길 77,무주국유림관리소,063-432-1193,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0194,35.89924607,127.4211096,2023-06-09,4730000,전라북도 진안군
송이밸리자연휴양림,강원도,공유림,43.66,100,없음,Y,송이밸리자연휴양림,강원도 양양군 양양읍 고노동길 98-50,강원도 양양군청,033-670-2644,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030049,38.05400667,128.6214924,2023-06-12,4350000,강원도 양양군
반딧불 자연휴양림,전북특별자치도,공유림,31110,300,무료,Y,통나무집+목교+평상+평의자,전북특별자치도 무주군 설천면 무설로 1324,전북특별자치도 무주군청 시설사업소,063-320-5666,https://tour.muju.go.kr/bandiland/contents.do?key=399,36.01249047,127.7611881,2024-01-24,4741000,전북특별자치도 무주군
향로산 자연휴양림,전북특별자치도,공유림,64000,,무료,Y,숲속나무집+은하빛휴양관+초록빛휴양관+숲속동굴집+숲속거울집+야영장+모노레일,전북특별자치도 무주군 무주읍 무학로153-36,전북특별자치도 무주군청 산림녹지과,063-320-6884,https://foresttrip.go.kr,36.0241407531,127.6698804907,2024-01-24,4741000,전북특별자치도 무주군
구재봉자연휴양림,경상남도,공유림,1140,213,일반1000원+단체800원+장애인무료청소년600원+단체500원+장애인무료어린이300원+단체200원+장애인무료,Y,휴양관+숲속의집+트리하우스+야영데크+트리하우스(야영장),경상남도 하동군 적량면 중서길 60-81,경상남도 하동군청,070-8855-8011,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030072,35.12895794,127.7440937,2023-12-07,5440000,경상남도 하동군
하동편백자연휴양림,경상남도,공유림,503,122,일반1000원+단체800원+장애인무료청소년600원+단체500원+장애인무료어린이300원+단체200원+장애인무료,Y,숲속의집+글램핑장+트리하우스(야영장),경상남도 하동군 옥종면 돌고지로 1088-51,경상남도 하동군청,070-8994-0717,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030103,35.1858764,127.8484386,2023-12-07,5440000,경상남도 하동군
고산자연휴양림,전라북도,공유림,6920000,3000,일반2000+단체1500,Y,숲속의집+돔하우스+가족휴양관+웰빙휴양관+산림휴양관,전라북도 완주군 고산면 고산휴양림로 246,전라북도 완주군청 산림녹지과,063-263-8680,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030025,35.96224205,127.2328719,2023-12-26,4721000,전북특별자치도 완주군
국립신시도자연휴양림,전라북도,국유림,120000,932,입장료1000+주차료3000+숙박비73000,Y,방문자안내센터+커뮤니티센터+휴양관 2동(28실)+숲속의집 28동(28실)+해안탐방로+달맞이 화원+태양전망대+원형전망대,전라북도 군산시 옥도면 신시도길 271,국립자연휴양림관리소,063-464-5580,https://foresttrip.go.kr/indvz/main.do?hmpgId=0301,35.82815579,126.4468419,2023-12-12,4671000,전북특별자치도 군산시
백운산자연휴양림,전라남도,공유림,375325,395,0,Y,숙박동+목재문화체험장+황토길+산책로+야영장+운동장,전라남도 광양시 옥룡면 백계로 337,전라남도 광양시,061-797-2655,bwmt.gwangyang.go.kr,35.05164287,127.5985311,2024-01-10,4840000,전라남도 광양시
양촌자연휴양림,충청남도,공유림,405274,205,(일반)1000원+(단체)800원,Y,글램핑장(8동)+숲속의집(17동)+휴양관(7실),충청남도 논산시 양촌면 매죽헌로1723번길 176-23,충청남도 논산시청,041-746-6481,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030034,36.15726044,127.2464846,2023-12-19,4540000,충청남도 논산시
칠갑산자연휴양림,충청남도,공유림,73000,500,개인 일반 1000원 +개인 청소년·군인 800원+개인 어린이 500원+단체 일반 800원+단체 청소년·군인 600원+단체 어린이 300원 + 청양 부여 공주 군(시)민 무료,Y,숲속의 집+산림문화 휴양관+원두막+기타시설 등,충청남도 청양군 대치면 칠갑산로 668-103,충청남도 청양군공공시설사업소,041-940-2429,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030044,36.431589,126.8438227,2023-12-18,4590000,충청남도 청양군
서운산자연휴양림,경기도,공유림,833571,210,무료,Y,숲속의집+오토캠핑장+야영장+카라반,경기도 안성시 금광면 배티로 185-39,경기도 안성시청,031-678-2913,https://www.anseong.go.kr/tourPortal/anseongforest/main.do,36.94238317,127.313722,2024-02-22,4080000,경기도 안성시
평창자연휴양림,강원도,공유림,540000,80,일반2000원+단체1500원,Y,숙박동+세미나실+운동장+산책로,강원도 평창군 봉평면 팔송로 285,강원도 평창군청 산림과,033-339-9028,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030003,37.609548,128.303521,2022-09-22,4280000,강원도 평창군
동강전망자연휴양림,강원도,공유림,448000,268,없음,N,오토캠핑장,강원도 정선군 신동읍 동강로 916-212,정선군시설관리공단,070-4225-2336,https://www.jsimc.or.kr,37.25962318,128.6079002,2023-03-16,4290000,강원도 정선군
팔공산금화자연휴양림,경상북도,공유림,31,216,0원,Y,"숲속의집, 카라반, 교육관, 휴양관, 야영데크",경상북도 칠곡군 가산면 가산로 323,경상북도 문화관광공사,054-971-1551,http://palgong.gb.go.kr,36.05171899,128.5553512,2023-11-30,6470000,경상북도
안동호반자연휴양림,경상북도,공유림,52,258,0원,Y,"호반하우스,산림휴양관,숲속의집,전통가옥",경상북도 안동시 도산면 월천길 100-7,경상북도 문화관광공사,054-855-3371,http://huyang.gb.go.kr,36.70343807,128.8288547,2023-11-30,6470000,경상북도
